specimen,carapace_length
0,79
1,80
2,80
3,80
4,80
5,80
6,80
7,81
8,81
9,81
10,81
11,81
12,81
13,81
14,81
15,81
16,81
17,81
18,82
19,82
20,82
21,82
22,82
23,82
24,82
25,82
26,82
27,82
28,82
29,82
30,82
31,83
32,83
33,83
34,83
35,84
36,84
37,84
38,84
39,85
40,85
41,86
42,86
43,86
44,87
45,87
46,87
47,87
48,87
49,87
50,88
51,88
52,88
53,88
54,88
55,89
56,89
57,89
58,89
59,90
60,90
61,90
62,90
63,90
64,90
65,90
66,91
67,91
68,91
69,91
70,91
71,91
72,91
73,91
74,92
75,92
76,92
77,92
78,93
79,93
80,93
81,93
82,93
83,93
84,93
85,94
86,94
87,94
88,94
89,94
90,94
91,94
92,94
93,94
94,94
95,95
96,95
97,95
98,95
99,95
100,95
101,95
102,95
103,95
104,95
105,96
106,97
107,97
108,97
109,97
110,97
111,97
112,98
113,98
114,98
115,98
116,98
117,98
118,98
119,98
120,98
121,98
122,98
123,99
124,99
125,99
126,100
127,100
128,100
129,100
130,100
131,101
132,101
133,101
134,101
135,101
136,102
137,102
138,103
139,103
140,103
141,103
142,103
143,104
144,104
145,104
146,104
147,105
148,105
149,106
150,106
151,107
152,108
153,108
154,108
155,109
156,109
157,109
158,109
159,110
160,110
161,111
162,111
163,112
164,112
165,112
166,112
167,113
168,113
169,113
170,113
171,114
172,115
173,115
174,115
175,115
176,115
177,116
178,117
179,117
180,117
181,117
182,118
183,120
184,121
185,123
186,124
187,125
188,127
189,130
190,130
191,130
192,131
193,131
194,151
