country,region,income,gdp,population,msw,e_waste,medical,hazard,plastic,metal,glass
Aruba,LCN,High,35563.3125,103187,0.8541,,,,,,
Afghanistan,SAS,Low,2057.062255859375,34656032,0.1624111314878749,0.0005771001134809664,0.00028436608091774617,,,,
Angola,SSF,Lower Middle,8036.6904296875,25096150,0.1679,0.003665900944965662,0.00021899574237482642,,13.5,4.4,6.7
Albania,ECS,Upper Middle,13724.05859375,2854191,0.3809999926423985,0.007007239529519924,4.004637391120636e-05,0.0020022556304045524,9.6,4.8,4.5
Andorra,ECS,High,43711.80078125,82431,0.5216484089723527,,,0.021690868726571316,11.3,2.6,8.2
United Arab Emirates,MEA,High,67119.1328125,9770529,0.5749619084084393,0.01371471288811486,0.0004680401644578303,0.005887603424543339,19.0,3.0,4.0
Argentina,LCN,High,23550.099609375,42981516,0.41670354298345363,0.006786638237701993,,0.007213426348200469,14.61,1.84,3.16
Armenia,ECS,Upper Middle,11019.8388671875,2906220,0.16956734177040966,0.004817254027568457,,0.0214264577354777,11.4,3.4,3.2
American Samoa,EAS,Upper Middle,11113.4423828125,55599,0.3415437328009497,,,,12.8,7.9,3.4
Antigua and Barbuda,LCN,High,17965.501953125,96777,0.31603583496078613,0.011366337042892423,,,13.0,7.0,7.0
Australia,EAS,High,47784.1796875,23789338,0.5609655888701064,0.024128456201681612,,0.294249465874166,7.61,19.38,3.81
Austria,ECS,High,56029.61328125,8877067,0.5880000117155813,0.018719471194708792,0.07848853681063801,0.14332301423431862,11.1,4.4,7.0
Azerbaijan,ECS,Upper Middle,14853.91015625,9649341,0.3036838474254356,0.006528943271877323,,0.030777169135177213,7.87,3.49,5.28
Burundi,SSF,Low,839.7785034179686,6741569,0.2776825394800528,0.0007416671104308211,,,3.5,2.1,2.9
Belgium,ECS,High,51914.9140625,11484055,0.41500001523851987,0.05255765493982744,0.20875622765652027,0.2565465769712876,13.94,1.91,3.1
Benin,SSF,Low,2227.352294921875,5521763,0.12422409473206293,0.0014850329505268517,0.00030751048170665784,,7.3,1.6,1.6
Burkina Faso,SSF,Low,1925.3311767578125,18110624,0.1421956035308336,0.0006073782990580557,,0.0004346067810805415,9.0,1.0,1.0
Bangladesh,SAS,Lower Middle,3195.737060546875,155727056,0.09489999817372775,0.000911851823616315,7.879812484222395e-05,0.0007343489496134827,4.67,0.5,0.44
Bulgaria,ECS,Upper Middle,22279.361328125,7025037,0.4069999916014677,0.007656187433603552,0.07376872178751515,1.7375238023657384,12.15,1.98,5.83
Bahrain,MEA,High,47937.77734375,1425171,0.6679499999999999,0.014033403710852944,0.6392215390293515,0.02175177575182206,7.4,2.1,3.4
"Bahamas, The",LCN,High,35400.08203125,386838,0.6824562219843966,0.012666801089861906,,,13.0,7.0,7.0
Bosnia and Herzegovina,ECS,Upper Middle,12671.0078125,3535961,0.353148125785324,0.00039847724564835414,0.0023048896749709624,0.00237785428063262,,,
Belarus,ECS,Upper Middle,18307.51953125,9489616,0.4510193036261952,0.007587240621749078,,0.14088304521489595,12.0,2.0,8.0
Belize,LCN,Upper Middle,7259.0244140625,359288,0.28216592343746527,0.006401549731691568,0.0005232571085034847,,19.0,5.0,8.0
Bermuda,NAC,High,80982.3671875,64798,1.2654711565171766,,,0.008102101916725824,13.0,6.0,9.0
Bolivia,LCN,Lower Middle,7984.41357421875,10724705,0.20691030662381857,0.0033000441503985424,0.00043665536721056663,0.0508343119927308,10.193050193050194,2.501930501930502,2.9034749034749034
Brazil,LCN,Upper Middle,14596.24609375,208494896,0.37923990235233385,0.0067718684106300615,0.001247335090639341,,13.5,2.9,2.4
Barbados,LCN,High,15444.74609375,280601,0.6230036402024385,0.0135423608611516,,0.03353636302080178,17.1,4.9,3.7
Brunei Darussalam,EAS,High,60865.98828125,423196,0.511,0.01819487896861029,0.000460779402451819,,16.0,4.0,3.0
Bhutan,SAS,Lower Middle,6743.01611328125,686958,0.16203909118170254,0.0021216726495651844,0.0005211381190698704,,13.0,1.0,4.0
Botswana,SSF,Upper Middle,14126.3896484375,2014866,0.10464936259727246,0.00794097473479626,0.0012407773023119155,,,0.1,
Central African Republic,SSF,Low,822.6104736328125,4515392,0.24493620930364407,0.0005979547290689269,,,,,
Canada,NAC,High,47672.078125,35544564,0.7062411568756336,0.020368796758908056,,,3.0,13.0,6.0
Switzerland,ECS,High,68394.2890625,8574832,0.7090000130614804,0.021458146352021822,,0.1399444327305771,15.0,3.0,4.0
Channel Islands,ECS,High,46672.59375,164541,1.0874675612765208,,,,,,
Chile,LCN,High,20361.71484375,16829442,0.3872380320155594,0.010457863071158272,,0.014840361314415535,9.4,2.3,6.6
China,EAS,Upper Middle,16092.30078125,1400050048,0.28219089493577876,0.005150530161618908,,0.024750829478918743,9.8,1.1,2.1
Côte d’Ivoire,SSF,Lower Middle,3660.90283203125,20401332,0.21767276126872498,0.001078360961921506,,,,,
Cameroon,SSF,Lower Middle,3262.763671875,21655716,0.15102786673042812,0.0008773665114559131,,0.00040250804914508485,3.3,0.7,0.1
"Congo, Dem. Rep.",SSF,Low,1055.572998046875,78736152,0.1827016644145881,,,,,,
"Congo, Rep.",SSF,Lower Middle,4899.57958984375,2648507,0.170360131198445,,,,,,
Colombia,LCN,Upper Middle,12523.0068359375,46406648,0.2618185222082836,0.005434566185431019,0.0005969834322013518,0.005821284484929831,12.83,1.1,2.35
Comoros,SSF,Low,2959.5400390625,777424,0.11706996439523348,0.0007717796209018502,,,5.0,4.0,2.0
Cabo Verde,SSF,Lower Middle,6353.783203125,513979,0.2578996418141597,0.004669451475643947,0.00014786596339539163,0.006904795721225964,,,
