Time,PH,Plant,Plant_height,Lateral_spread,Leaf_length,Leaf_width
0,pH5,1,22.0,10.0,5.0,1.5
0,pH5,2,16.5,12.0,6.0,3.0
0,pH5,3,16.5,9.0,4.5,2.5
0,pH5,4,13.5,7.0,3.5,2.5
0,pH5,5,12.0,9.0,4.0,2.0
11,pH5,1,30.0,13.0,6.5,4.0
11,pH5,2,25.0,20.0,10.0,5.5
11,pH5,3,22.0,12.0,6.0,4.0
11,pH5,4,17.5,12.0,6.0,2.7
11,pH5,5,17.0,9.5,4.5,2.0
21,pH5,1,40.0,24.0,12.0,6.5
21,pH5,2,42.0,27.0,13.5,6.5
21,pH5,3,30.5,19.0,9.5,6.0
21,pH5,4,28.0,21.0,10.5,4.0
21,pH5,5,24.0,15.0,7.5,4.0
28,pH5,1,45.0,25.0,13.0,7.0
28,pH5,2,50.0,28.0,14.0,8.0
28,pH5,3,36.0,19.0,9.5,6.0
28,pH5,4,35.0,23.0,11.0,5.0
28,pH5,5,26.0,17.0,9.0,5.0
35,pH5,1,50.0,26.0,13.0,7.0
35,pH5,2,60.0,30.0,15.5,9.0
35,pH5,3,41.0,19.0,9.5,6.0
35,pH5,4,41.0,24.0,12.0,6.0
35,pH5,5,32.0,19.0,10.0,6.0
46,pH5,1,65.0,26.5,13.5,7.5
46,pH5,2,86.0,30.0,15.5,9.0
46,pH5,3,59.5,21.0,11.0,7.0
46,pH5,4,68.0,28.0,14.0,7.5
46,pH5,5,45.0,24.0,12.0,6.0
57,pH5,1,86.0,28.0,14.0,7.0
57,pH5,2,117.0,32.0,16.0,9.0
57,pH5,3,75.5,23.0,12.0,7.0
57,pH5,4,86.5,28.0,14.0,7.5
57,pH5,5,54.0,24.0,12.0,7.0
70,pH5,1,110.0,28.0,14.0,8.0
70,pH5,2,137.0,32.0,16.0,9.0
70,pH5,3,89.0,23.0,12.0,8.5
70,pH5,4,104.0,28.0,14.0,7.5
70,pH5,5,63.0,24.0,12.0,7.0
82,pH5,1,119.0,28.0,14.0,8.0
82,pH5,2,147.0,32.0,16.0,9.0
82,pH5,3,91.0,24.0,12.0,8.5
82,pH5,4,111.0,28.0,14.0,7.5
82,pH5,5,66.0,24.0,12.0,7.0
95,pH5,1,119.0,27.0,14.0,8.0
95,pH5,2,147.0,32.0,16.0,9.0
95,pH5,3,91.0,24.0,12.0,8.5
95,pH5,4,113.0,28.0,14.0,7.5
95,pH5,5,67.0,24.0,12.0,7.0
104,pH5,1,119.0,27.0,14.0,8.0
104,pH5,2,147.0,32.0,16.0,9.0
104,pH5,3,91.0,20.0,10.0,8.5
104,pH5,4,114.0,28.0,14.0,7.5
104,pH5,5,67.0,24.0,12.0,7.0
0,pH6,6,21.5,13.0,6.5,3.5
0,pH6,7,18.0,10.0,5.0,3.0
0,pH6,8,16.0,12.0,6.0,3.0
0,pH6,9,15.5,12.5,6.5,3.0
0,pH6,10,13.0,10.0,5.0,2.5
11,pH6,6,32.0,29.0,14.4,6.0
11,pH6,7,26.5,16.0,8.0,5.0
11,pH6,8,25.0,18.0,9.0,6.0
11,pH6,9,21.0,16.2,8.2,3.5
11,pH6,10,20.0,12.0,6.0,2.5
21,pH6,6,53.5,38.0,19.0,7.0
21,pH6,7,43.0,24.0,12.0,7.0
21,pH6,8,39.0,33.0,16.5,6.5
21,pH6,9,28.0,28.0,14.0,5.0
21,pH6,10,25.0,13.0,6.5,3.5
28,pH6,6,60.0,38.0,19.0,8.0
28,pH6,7,55.0,24.0,12.0,8.0
28,pH6,8,47.0,34.0,17.0,7.0
28,pH6,9,36.0,28.0,14.0,5.5
28,pH6,10,30.0,14.3,7.3,4.0
35,pH6,6,76.0,38.0,19.0,9.0
35,pH6,7,60.0,24.0,12.0,9.5
35,pH6,8,57.0,35.0,18.5,8.0
35,pH6,9,41.0,30.0,15.0,6.5
35,pH6,10,35.0,20.0,10.0,5.0
46,pH6,6,107.0,38.0,19.0,9.5
46,pH6,7,87.0,26.5,13.5,9.5
46,pH6,8,78.5,35.0,18.5,8.0
46,pH6,9,59.5,32.0,16.0,7.0
46,pH6,10,42.0,24.0,12.0,7.0
57,pH6,6,125.0,34.5,17.5,8.5
57,pH6,7,104.0,27.5,14.0,8.5
57,pH6,8,92.0,37.0,19.0,8.0
57,pH6,9,69.5,29.5,15.0,6.5
57,pH6,10,40.0,25.0,13.5,6.0
70,pH6,6,140.0,34.5,17.5,8.5
70,pH6,7,116.0,27.5,14.0,9.0
70,pH6,8,101.0,37.0,19.0,8.0
70,pH6,9,76.5,26.0,13.0,6.0
70,pH6,10,57.0,25.0,13.5,8.0
82,pH6,6,147.0,35.0,17.5,8.5
82,pH6,7,124.0,28.0,14.0,9.0
82,pH6,8,11.0,37.0,19.0,8.0
82,pH6,9,80.0,26.0,13.0,6.0
82,pH6,10,61.0,25.0,13.5,8.0
95,pH6,6,149.0,30.5,15.5,8.0
95,pH6,7,126.0,28.0,14.0,9.0
95,pH6,8,111.0,34.0,17.0,8.0
95,pH6,9,82.0,17.0,9.0,5.0
95,pH6,10,68.0,25.0,13.5,8.0
104,pH6,6,150.0,30.5,15.5,8.0
104,pH6,7,126.0,28.0,14.0,9.0
104,pH6,8,111.0,34.0,17.0,8.0
104,pH6,9,82.0,17.0,9.0,5.0
104,pH6,10,70.0,25.0,13.5,8.0
0,pH7,11,8.5,14.0,7.0,2.5
0,pH7,12,14.5,8.0,4.0,2.0
0,pH7,13,3.5,8.0,3.8,2.0
0,pH7,14,12.0,5.5,3.0,1.0
0,pH7,15,11.5,8.0,2.0,1.0
11,pH7,11,12.0,16.0,8.0,3.5
11,pH7,12,20.0,12.0,6.0,3.2
11,pH7,13,4.5,10.0,5.0,3.0
11,pH7,14,14.5,12.0,6.0,3.5
11,pH7,15,18.0,9.0,4.5,2.0
21,pH7,11,19.0,28.0,14.5,6.0
21,pH7,12,35.0,20.0,10.0,4.0
21,pH7,13,5.5,11.0,6.0,3.5
21,pH7,14,20.0,14.0,7.0,3.5
21,pH7,15,22.5,12.5,6.5,2.5
28,pH7,11,23.0,29.0,15.0,6.5
28,pH7,12,40.0,22.0,11.0,7.0
28,pH7,13,6.0,14.0,7.0,4.0
28,pH7,14,24.0,18.0,9.0,4.0
28,pH7,15,25.0,18.0,8.0,4.5
35,pH7,11,27.0,30.0,15.0,7.0
35,pH7,12,46.5,25.5,12.5,8.0
35,pH7,13,7.0,16.0,8.0,5.0
35,pH7,14,26.0,20.0,10.0,5.5
35,pH7,15,28.0,21.0,10.5,6.0
46,pH7,11,42.0,32.5,16.5,8.5
46,pH7,12,57.0,27.5,14.5,9.5
46,pH7,13,9.0,21.5,12.5,7.5
46,pH7,14,39.0,31.0,15.5,7.0
46,pH7,15,42.5,28.0,14.0,6.0
57,pH7,11,50.0,35.5,18.5,9.0
57,pH7,12,58.0,29.0,14.5,8.0
57,pH7,13,10.5,22.0,11.0,8.0
57,pH7,14,54.0,32.0,17.0,8.5
57,pH7,15,57.0,31.0,16.0,7.0
70,pH7,11,61.0,35.5,17.5,9.0
70,pH7,12,68.5,29.0,14.0,10.0
70,pH7,13,16.5,26.0,13.0,8.0
70,pH7,14,67.0,33.0,17.0,8.5
70,pH7,15,65.5,32.5,16.6,7.0
82,pH7,11,65.0,35.5,17.5,9.0
82,pH7,12,71.0,27.0,14.0,6.5
82,pH7,13,18.5,26.0,13.0,8.0
82,pH7,14,71.0,33.0,17.0,9.0
82,pH7,15,73.0,32.5,16.5,7.0
95,pH7,11,67.0,29.0,15.0,7.5
95,pH7,12,73.0,18.0,10.0,5.0
95,pH7,13,18.5,24.0,12.0,5.0
95,pH7,14,73.0,33.0,17.0,8.5
95,pH7,15,73.0,32.5,16.5,7.0
104,pH7,11,67.0,29.0,15.0,7.5
104,pH7,12,74.0,14.0,7.0,5.0
104,pH7,13,19.0,0.0,0.0,0.0
104,pH7,14,75.0,33.0,17.0,8.5
104,pH7,15,76.0,28.0,14.0,8.0
